Added to MB,Genre,Artist,Release Title,Link,Notes,,,,,,,,,,,,,,,,,,,,,,
,Experimental,Elvis Presley,The Elvis Presley Interview Record - An Audio Self-Portrait,,Different version here https://www.discogs.com/Elvis-Presley-The-Elvis-Presley-Interview-Record-An-Audio-Self-Portrait/master/1133911,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Benny Goodman Sextet 1939-1941 Featuring Charlie Christian ,Benny Goodman Sextet 1939-1941 Featuring Charlie Christian ,https://www.discogs.com/The-Benny-Goodman-Sextet-Featuring-Charlie-Christian-The-Benny-Goodman-Sextet-Featuring-Charlie-Chri/release/4750100,,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bill Evans,The Solo Sessions Vol 1,https://www.discogs.com/Bill-Evans-The-Solo-Sessions-Vol-1/release/4138730,multiple entries in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bill Frisell,Before We Were Born,https://www.discogs.com/Bill-Frisell-Before-We-Were-Born/release/4391708,multiple entries in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bill Frisell,In Line,https://www.discogs.com/Bill-Frisell-In-Line/release/351404,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bill Frisell,In Line,https://www.discogs.com/Bill-Frisell-In-Line/release/351404,incomplete (listed as unknown medium) entry in musicbrainz,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bill Laswell,Baselines,https://www.discogs.com/Bill-Laswell-Baselines/release/8197276,CD entry in MB ,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bill Laswell,Hear No Evil ,https://www.discogs.com/Bill-Laswell-Hear-No-Evil/release/604648,CD entry in MB ,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Billie Holiday,A Rare Live Recording of BIllie Holiday,https://www.discogs.com/Billie-Holiday-A-Rare-Live-Recording-Of-Billie-Holiday/release/8724816,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Billie Holiday,Lady in Satin,https://www.discogs.com/Billie-Holiday-Ray-Ellis-And-His-Orchestra-Lady-In-Satin/release/2442402,Vinyl entry in MB does not match cat#,,,,,,,,,,,,,,,,,,,,,,
,Jazz,Billie Holiday,Lady Sings of Love,,No entry in MB or Discogs,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Billie Holiday,"The Quintessential BIllie Holiday Vol. 1, 1933-1935",https://www.discogs.com/Billie-Holiday-The-Quintessential-Billie-Holiday-Volume-1-1933-1935/release/2992096,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
JL,Jazz,Billie Holiday,The Quintessential Billie Holiday Vol. 2,https://www.discogs.com/Billie-Holiday-The-Quintessential-Billie-Holiday-Volume-2/master/142795,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Billie Holiday,The Quintessential Billie Holiday Vol. 4,https://www.discogs.com/Billie-Holiday-The-Quintessential-Billie-Holiday-Volume-4-1937-/release/3035623,Unknown format entry in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bobby McFerrin,Spontaneous Inventions ,https://www.discogs.com/Bobby-McFerrin-Spontaneous-Inventions/release/1760290,CD entry in MB ,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bobby Previte ,Pushing the Envelope ,https://www.discogs.com/Bobby-Previte-Pushing-The-Envelope/release/2979320,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bolling Band,Bolling Band Plays Ellington Music Vol. 1,https://www.discogs.com/Bolling-Band-Bolling-Band-Plays-Ellington-Music-Vol-1/release/4023262,CD in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Boulevard of Broken Dreams,It's The Talk Of The Town (And Other Sad Songs),https://www.discogs.com/Boulevard-Of-Broken-Dreams-Its-The-Talk-Of-The-Town-And-Other-Sad-Songs/release/5759504,,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Buck Clayton,Jam Sessions From The Vault,https://www.discogs.com/Buck-Clayton-Jam-Sessions-From-The-Vault/release/4041381,CDs entry in MB ,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Buck Clayton ,A Swingin Dream,https://www.discogs.com/Buck-Clayton-And-His-Swing-Band-A-Swingin-Dream/release/9892017,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bud Powell ,"The Amazing Bud Powell, Vol 2",https://www.discogs.com/Bud-Powell-The-Amazing-Bud-Powell-Volume-2/release/3823918,"Entry exists in MB, but different songs included ",,,,,,,,,,,,,,,,,,,,,,
I.S.,Jazz,Bunny Berigan,The Great Soloists,https://www.discogs.com/Bunny-Berigan-The-Great-Soloists/release/7554415,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Cab Calloway,Mr. Hi.De.Ho. 1930-1931,https://www.discogs.com/Cab-Calloway-Mr-Hi-De-Ho-1930-1931/release/3359019,unknown entry in MB ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,"Carla Bley, Paul Haines",Escalator Over The Hill,https://www.discogs.com/Carla-Bley-Paul-Haines-Escalator-Over-The-Hill/release/4596661,CD in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Cecil Taylor,In Florescence,https://www.discogs.com/Cecil-Taylor-In-Florescence/release/2836507,CD in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charles Lloyd   ,Forest Flower ,https://www.discogs.com/Charles-Lloyd-Forest-Flower/release/3130988,CD/unknown format Entry in MB (different # of tracks) ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charles Lloyd Quartet,A Night in Copenhagen ,https://www.discogs.com/Charles-Lloyd-Quartet-A-Night-In-Copenhagen/release/2665609,CD Entry in MB ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charles Mingus,Mingus Ah Um,https://www.discogs.com/Charles-Mingus-Mingus-Ah-Um/release/2406012,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charles Mingus,Mingus At Antibes,https://www.discogs.com/Charles-Mingus-Mingus-At-Antibes/release/4161902,Vinyl entry in MB does not match cat#,,,,,,,,,,,,,,,,,,,,,,
,Jazz,Charles Mingus,"Mingus, Mingus, Mingus, Mingus, Mingus",,No entry in MB or Discogs,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charles Mingus,Presents Charles Mingus,https://www.discogs.com/Charles-Mingus-Presents-Charles-Mingus/release/2658379,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charlie Barnet & His Orchestra,More Charlie Barnet,https://www.discogs.com/Charlie-Barnet-His-Orchestra-More-Charlie-Barnet/release/3422743,unknown entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charlie Christian,The Genius Of The Electric Guitar,https://www.discogs.com/Charlie-Christian-The-Genius-Of-The-Electric-Guitar/release/2369522,multiple CD entries in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charlie Haden ,Liberation Music Orchestra ,https://www.discogs.com/Charlie-Haden-Liberation-Music-Orchestra/release/3848895,identical - except for different catalog number ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charlie Parker,Anthology,https://www.discogs.com/Charlie-Parker-Anthology/release/1845462,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charlie Parker,Bird: The Original Recordings of Charlie Parker,https://www.discogs.com/Charlie-Parker-Bird-The-Original-Recordings-Of-Charlie-Parker/release/5970947,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charlie Parker,Charlie Parker,https://www.discogs.com/Charlie-Parker-Charlie-Parker/release/3392712,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Charlie Parker,The Very Best of Bird,https://www.discogs.com/Charlie-Parker-The-Very-Best-Of-Bird/release/9063989,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Chet Baker,Chet Baker Sings And Plays From The Film Let's Get Lost,https://www.discogs.com/Chet-Baker-Chet-Baker-Sings-And-Plays-From-The-Film-Lets-Get-Lost/release/3139376,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Choir of Trappist Monks & Monks of the Benecitine Abbey. En Calcatt,"Gregorian Chants, Vol. IV: Grand Prix Du Disque",https://www.discogs.com/Choir-Of-Trappist-Monks-Monks-Of-The-Benedictine-Abbey-El-Calcat-Gregorian-Chants-Volume-IV-Grand-Pr/release/6391966,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Clifford Brown,Alternate Takes,https://www.discogs.com/Clifford-Brown-Alternate-Takes/release/7007784,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Clifford Brown and Max Roach,Clifford Brown & Max Roach,https://www.discogs.com/Clifford-Brown-And-Max-Roach-Clifford-Brown-Max-Roach/release/4060527,Different label/id than MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Coro della Capella Papale di San Francesco  d'Assisi,Gregorian Chants From Assisi ,https://www.discogs.com/Coro-Cappella-Papale-Di-San-Francesco-DAssisi-Gregorianische-Ges%C3%A4nge-Aus-Assisi/release/4037654,identical - except for different catalog number ,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Cosmetic with Jamaaladeen Tacuma,So Tranquilizin',https://www.discogs.com/Cosmetic-With-Jamaaladeen-Tacuma-So-Tranquilizin/release/544409,No entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Count Basie,Count Basie and the Kansas City 7,https://www.discogs.com/Count-Basie-And-The-Kansas-City-7-Count-Basie-And-The-Kansas-City-7/release/2223259,,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Count Basie,The Essential Count Basie Volume 1,https://www.discogs.com/Count-Basie-The-Essential-Count-Basie-Volume-1/release/4330189,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Count Basie,The Essential Count Basie Volume 2,https://www.discogs.com/Count-Basie-The-Essential-Count-Basie-Volume-2/release/4827943,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
CM,Jazz,Count Basie,The Essential Count Basie Volume 3,https://www.discogs.com/Count-Basie-The-Essential-Count-Basie-Volume-3/release/7818586,CD entry in MB,,,,,,,,,,,,,,,,,,,,,,
